filler,total_volume,last_trade_date
67ju6peoMXMKChtuksbsDnadRCAqBDkoCzJ6pbnZoWdY,243707.01165399989,2025-02-21 21:43:05.000 UTC
EEfKnzmDm9EpN7zmozkJr86uzNNVZq1v9n56HeCsNWJg,242414.57151999997,2025-01-18 04:16:56.000 UTC
2TmaYG9n3r1nBAsd5gPpDSJ1shRgqyZMPKEo2Chcbyxf,238534.49498800002,2025-02-02 03:15:43.000 UTC
D6aarStTUBRrFpjxuTK7YRbxiFNEdEbHgF7PTB2KNWTU,234985.518259,2025-02-18 06:42:02.000 UTC
AHWgdUFuDzHRnFYhNNiHcb72nCnqGd52rdz5BgdMhHoP,228488.41367099996,2025-02-21 13:24:05.000 UTC
53NDtLKaJkAAVCAzqMvqVtztZbMdFDpzqptUdRXPXnXy,226309.51871700003,2025-02-09 15:07:36.000 UTC
BvLWKi4g6ffYdQtX6eHfLUej2oHUEfBCfhXSZ8xbtriv,223936.42519899996,2025-02-15 22:19:19.000 UTC
SgAJYE9dwCW4KpLFXfHCKjxmLvkJo918e2dukssmnhF,221370.48798799998,2025-02-18 13:36:07.000 UTC
FJkw6Y7xH4Xg8FG61jrLWBWnfaD3g3tQRpPNBniUA6oQ,221186.62577600003,2025-01-31 15:27:21.000 UTC
5xEc7eVpjTTA1twpLZGc2qG2boV7XZdgKV4EhTd2ttHA,214632.80412,2025-01-31 17:14:13.000 UTC
3p61S3jj9K44UP33jG2cwWDv4nDXz5KMyEuhaTknw1cL,214205.545781,2025-02-21 16:27:52.000 UTC
E3WCHL2GoSYi3VcFahiG1h9BhNWhMHT4HAbZ589nnxR3,213474.77175700004,2025-02-20 21:00:26.000 UTC
6WoaPjGBYkWKZf7x6NkDMaebmSMdBaWBUzhJTzA2UNPR,209771.21235,2025-02-07 15:53:30.000 UTC
CVNuPRUtACYYTRTY771PDizyMd59PiqMrQEaDvoBswSd,208757.014063,2025-02-03 22:01:44.000 UTC
vw2hBDvwJpSyyzcEraxAzBF3gP5BVdKx6TydqAoJCeb,206890.287594,2025-02-21 11:08:15.000 UTC
4yE9T7YvDhtXHKNGm8iLBjQvsGNndeKnYxpUNbfrRw8b,206457.46862,2025-01-24 06:00:30.000 UTC
6Cv2w7bZLC1ZWCX5Rz4bq9dLguaGXeTtU89Jj3Ghu71p,206229.185693,2025-01-31 22:20:27.000 UTC
2b92Zt4HSGHMTDKmob67c4A7UdeTmeFbWvt7ENDAgJ5K,201866.19250000006,2025-02-11 05:27:00.000 UTC
2JEC5adUthcP6x2rPDc7q3BKRNMHuUsgGGQVLFX29hsi,199327.41317800005,2025-01-27 07:29:55.000 UTC
9z3xdQY4ecwv2yhGTQdgMzS9L9ThyN2EtrzZRcnzzfVR,198711.83731099992,2025-02-22 01:38:52.000 UTC
J56Epce71zP9MmVeQSR9Gyd3H2FijgzhhzKsLD7mcatn,194763.79831300006,2025-02-22 00:01:36.000 UTC
Cr1nxhPRhDkdS7cQV72tXC69PSSsxVMT3Rz9wbdZooNV,193278.346364,2025-02-21 12:38:35.000 UTC
4PmXCWpCW7qALBQVeW1CTpzbnoX8cUnBBH5xTcDeBNpV,190686.299878,2025-02-20 16:01:12.000 UTC
8U39vmu5xWuV1ttMLx5ZSQY7PYRLkmG2impc1SrZa2TL,189280.937353,2025-02-07 15:12:49.000 UTC
9nFz8LKwnETa1SdCY6SAR1WNdz2GDanWUuqrwDvAQs3t,188997.1913,2025-01-09 02:09:19.000 UTC
8DqEihUzCZVcrN9eouatXLSZMLZ65xyJHQsfyhraGTVJ,188880.55711799997,2025-02-03 04:12:39.000 UTC
BUoeX4kpRZyoaEg6GPbMAJDyFSVTx3JsqVuTWTpYJVv1,187346.730776,2025-01-08 17:21:05.000 UTC
Gs59RAjN5f5QqvzqgEk3JAsCyTqcg8SxZcBLXny9SU1x,186635.925035,2025-02-21 19:14:17.000 UTC
12pYH8VRsBHevmUyLN6QGCPejQiKMx5Dw6Qxhwtj9Fx3,186635.48394599996,2025-02-21 16:28:26.000 UTC
GjHVAh6YxnjC81Wouafku4eWKAsvUcVwFEcRzTyDvBw5,186068.60132500003,2025-01-29 05:57:19.000 UTC
85KtMxxV3N1LrSYSewqmXTCP7WWc6sbbsxjkVKU6FV5,184634.73382999998,2025-01-13 10:58:43.000 UTC
3BvWqPfZw2KcZ2WhszyzywkUfZYyrP1vQiJAeRHVyKM5,178934.321435,2025-02-03 02:55:09.000 UTC
GGZV9LMUrq894u8WF1BhjWEaG3UKUCL6KvUwoctdwe8q,176620.43588799998,2025-02-21 19:32:39.000 UTC
8gyX2yvLYLshYULDrvc8DTHjifbcBbeZ1RLyw8q5sw1t,174906.70415699997,2025-02-21 10:08:51.000 UTC
BzvYrTto9eqSDjFfwcCnAJtoswvDJzpC1T9d3T6ucewP,172664.08423400007,2025-02-19 04:43:34.000 UTC
8rodW5sAp4qkR2LubSS3BTKanGGoTzL8WPdrXiLCGcMr,171954.72916400002,2025-02-11 02:08:36.000 UTC
E73KoLgMAwTn5fxWfLgvhZUGEor3LMig3MAvrUq4WyWD,169882.99809199997,2025-02-08 05:57:00.000 UTC
9T5XRsE7kj2ttQq92CW6yc4hjcE5pzdeYvVzJgRn89JW,168149.41947000005,2025-02-03 01:38:32.000 UTC
8nZp353xcmPNag5xc9zmPkSdvX19YxQdEP51Versswce,162623.990032,2025-02-07 19:33:57.000 UTC
9ERVKr5aNkaijjSPQYjchEF1uub2mU8ErfUQqvH3buT6,162008.52046399997,2025-02-21 09:53:49.000 UTC
CoRewamwjUNiQKwFfe3BNRuq9kQ7zkLg1Qmx5haALfHV,159504.18284,2025-01-23 20:51:59.000 UTC
DTYJDs7nAb3usqQWKAzMawMM4SJHXhh1BSCCPpPVjrB7,156696.88308800006,2025-02-21 03:46:57.000 UTC
