blockchain,vault,name,description,entity
ethereum,0x41722452C0348501825C494ec6C1579e9c32D277,Alterscope Bedrock USDC,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xF69FF7901E199AE4Fc354048DA09C23c7699716c,Alterscope Bedrock USDT,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xEd667E0DE292C040CF2183302c8DBDe1C06447d7,Alterscope Bedrock PYUSD,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xB77e25555C2b3e6BCe5329D83eFD248534A907Aa,Alterscope Bedrock AUSD,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0x1987c2DCf5674Cf90bEceBAd502714c357ce126a,Alterscope Bedrock EURC,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0x28c6F8D44179ac93a5EBAe24189d887eeEF38cea,Alterscope Bedrock USDS,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0x6fc6BeCAe0fFAA08f699ec072f31983821a4D7ce,Alterscope Bedrock USDE,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xaE4D563FC348e0FC3697Ed940b23a86779e095C8,Alterscope Bedrock GHO,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xb4f7761C459D09f414e1190df275be3E24535750,Alterscope Bedrock WETH,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xd005125E525664feC9394CEE5466Da15262fFe01,Alterscope Bedrock WBTC,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0xa2f045eC60C624c46F1075FC589Df0f936F822C2,Alterscope Bedrock PAXG,Foundational vaults designed for maximium market stability.,alterscope
ethereum,0x99ba39845C4A12341C4B8cCEba1F11F4f6f84046,Alterscope Ascend USDC,The vault with diverse collateralization options.,alterscope
ethereum,0xE5b9686c0cc4Be8a47eb4ed265d4203EA8232f94,Alterscope Ascend USDT,The vault with diverse collateralization options.,alterscope
ethereum,0xdFD25B2304f4F08031b4125ee49ea2Df6aB8B19b,Alterscope Ascend WETH,The vault with diverse collateralization options.,alterscope
ethereum,0x29D824d54Fd5118543E81637b8f865d045191F30,Alterscope LRT ynETH,Vaults designed for advanced liquid restaking strategies.,alterscope
ethereum,0x6d18F74AAD8494B789aE34b5455816F79664d209,Alterscope LRT ynETHx,Vaults designed for advanced liquid restaking strategies.,alterscope
ethereum,0x45c3B59d53e2e148Aaa6a857521059676D5c0489,Alterscope LRT YieldNest WETH,Vaults designed for advanced liquid restaking strategies for YieldNest products.,alterscope
ethereum,0x3f29460AaCdE3d6Ae0156aB1f8685bd21Eb37074,Alterscope USDC Genesis,"Part of the Alterscope Genesis Cluster, offering safety and low risk through collateralized vaults—powered by Alterscope’s expertise.",alterscope
ethereum,0x0E88544bf60bbc748FA542B79e9aE3Cf18Db7F75,Alterscope WETH Genesis,"Part of the Alterscope Genesis Cluster, offering safety and low risk through collateralized vaults—powered by Alterscope’s expertise.",alterscope
ethereum,0x1926f5Bb9ed68BA83255fB219828a90Bd9F40771,Alterscope wstETH Genesis,"Part of the Alterscope Genesis Cluster, offering safety and low risk through collateralized vaults—powered by Alterscope’s expertise.",alterscope
ethereum,0xBe4089616039eC3F7361B7058d92a90246ee86e0,Dinero Protocol WETH,A WETH vault collateralized by apxETH by Dinero Protocol.,dinero
ethereum,0xc4984bB39465465432321519839c489F4275B164,MEV Capital Berastone Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0x6b6976aA97CD2473B388fA9b9eEb8Cca4F5a77a4,MEV Capital wstETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0x6C37d34a895456AA29CABe0caCB60FC56309C7ac,MEV Capital cbETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0x9426C7a40d5C9DD709cbc2894a7E6481f265B6Bb,MEV Capital rETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
ethereum,0x01d1a1cd5955B2feFb167e8bc200A00BfAda8977,MEV Capital WOETH Escrow,Component of the MEV Capital wETH Cluster,mev-capital
