filler,total_volume,last_trade_date
DwLNJgUmRyPxLpVLYuyu3Tmu8KNJs2DTUgMfLvEr3tCS,1.7522505706479996e+06,2024-12-05 03:17:35.000 UTC
2C5pAnekSK6MKgRCzUiFDFygU2WJxAqAitDiu6edGS6q,1.7387797132859994e+06,2024-11-07 14:20:19.000 UTC
EbNv8A1aJxpMJHqjGnWku3vjQouUNG9sPNiaFTUCt7ed,1.73395737547e+06,2024-10-08 23:30:46.000 UTC
64JWUkibAKZe9hq15bt9Pu7FtnHiuLXrDjBJtLd8fHEw,1.714589824492e+06,2024-12-18 19:46:14.000 UTC
A2azHJkU5ddqHTaxRqWk5FKh8oyahd1B2Rh334fv994K,1.7112726519900004e+06,2024-11-11 21:52:53.000 UTC
EwzJ1hoYnabGMgpqTdzbHsXqcTjnyM5po6gzgCBiLVYz,1.6966129246909996e+06,2024-12-20 13:43:31.000 UTC
E39NwG1Ce1r21VSMwqKd3WP8Wvf5yky4FDhtTajv44Qp,1.6898111010890005e+06,2024-12-13 15:53:29.000 UTC
3ydzio4fBPDydTKySQtPZk3gZPG1mQA51k1yEB13mTy8,1.6702946184139997e+06,2024-11-13 05:02:39.000 UTC
2UMN7B6p4ZkBG2W5pwgR4BeeUKeqzZjomosa2dNs63hL,1.6529532595509999e+06,2024-11-12 04:52:06.000 UTC
4KvPuh1wG8j1pLnZUC5CuqTm2a41PWNtik1NwpLoRquE,1.6508985352500004e+06,2024-12-30 22:39:53.000 UTC
4Tv8NFLgNkgqMFLjoxRiJX9aMuSPTgugE2osHzwSJefh,1.6397897715e+06,2024-11-10 05:04:23.000 UTC
DiuNgioFb3p6uxypPiPnYAEnZo2FT8AXvnkYKLTStmNW,1.6338443729200002e+06,2024-10-31 06:46:37.000 UTC
HydmgFLAu8aLD9xHYzg6JCK3Lmz9tzy25vb3EG3PTEFv,1.6228009090399998e+06,2024-12-12 18:08:20.000 UTC
4ukHGtrvMYVFy13FKMssUkqyzLWFsTtZPze48k74DBTR,1.5786009306319999e+06,2024-12-02 12:48:42.000 UTC
X2EtMkhcEtPK2ypaM3JemiGveYsvqigMbWyTWbtx6pQ,1.5604296590029998e+06,2024-11-23 22:29:56.000 UTC
B41KGEoZjHaNyyw2XUfRT4qREWqiASt5kcQDKf2vkvcp,1.5580116613759992e+06,2024-12-24 13:39:17.000 UTC
BrwjbG2cvL2WnC1gErAGQ8aZ2joiztvBcWUMR7DV7ve1,1.5271719878529997e+06,2024-11-13 04:38:06.000 UTC
